Date,USD/CNY
2025/07/17,7.1813
2025/07/18,7.1828
2025/07/21,7.1786
2025/07/22,7.1698
2025/07/23,7.1694
2025/07/24,7.1510
2025/07/25,7.1528
2025/07/28,7.1624
2025/07/29,7.1750
2025/07/30,7.1795
2025/07/31,7.2088
2025/08/01,7.2085
2025/08/02,7.1922
2025/08/03,7.1922
2025/08/04,7.1895
2025/08/05,7.1823
2025/08/06,7.1883
2025/08/07,7.1832
2025/08/08,7.1789
2025/08/09,7.1882
2025/08/10,7.1882
2025/08/11,7.1882
2025/08/12,7.1944
2025/08/13,7.1857
2025/08/14,7.1806
2025/08/15,7.1819
2025/08/16,7.1879
2025/08/17,7.1879
2025/08/18,7.1887
2025/08/19,7.1863
2025/08/20,7.1879
2025/08/21,7.1811
2025/08/22,7.1825
2025/08/23,7.1695
2025/08/24,7.1695
2025/08/25,7.1716
2025/08/26,7.1508
2025/08/27,7.1533
2025/08/28,7.1486
2025/08/29,7.1184
2025/08/30,7.1213
2025/08/31,7.1213
2025/09/01,7.1213
2025/09/02,7.1338
2025/09/03,7.1399
2025/09/04,7.1386
2025/09/05,7.1370
2025/09/06,7.1258
2025/09/07,7.1258
2025/09/08,7.1270
2025/09/09,7.1198
2025/09/10,7.1237
2025/09/11,7.1172
2025/09/12,7.1128
2025/09/13,7.1235
2025/09/15,7.1231
2025/09/16,7.1180
2025/09/17,7.1004
2025/09/19,7.1096
2025/09/20,7.1188
2025/09/21,7.1188
2025/09/22,7.1180
2025/09/23,7.1153
2025/09/24,7.1124
2025/09/25,7.1317
2025/09/26,7.1441
